,xi,xi_z,(8/f)^0.5,f
304,12.64,63.2,10.956,0.06664781866354863
305,13.44,67.2,10.889,0.06747050975766525
306,14.0,70.0,10.991,0.06622402473348121
307,14.72,73.6,11.114,0.06476631713688577
308,15.44,77.2,11.376,0.06181741213520309
309,16.0,80.0,11.23,0.06343522351797476
310,4.08,20.4,7.57,0.1396041176234493
311,4.72,23.6,8.04,0.12375931288829488
312,5.36,26.8,8.495,0.11085702526951251
313,6.08,30.4,8.894,0.10113366285040476
314,6.8,34.0,9.202,0.09447687704415485
315,7.44,37.2,9.386,0.09080899875405514
316,8.08,40.4,9.632,0.08622973256365825
317,8.8,44.0,9.763,0.08393119534630059
318,9.44,47.2,10.163,0.07745440745543596
319,10.08,50.4,10.168,0.07737825151150678
320,10.8,54.0,10.313,0.07521768303040836
321,11.52,57.6,10.465,0.07304853687204796
322,12.16,60.8,10.763,0.06905948040389334
323,12.8,64.0,10.628,0.07082505093383537
324,13.44,67.2,10.877,0.06761946493579543
325,3.44,17.2,7.321,0.14926197138383068
326,4.08,20.4,7.574,0.13945670040286948
327,4.72,23.6,8.08,0.1225370061758651
328,5.44,27.2,8.439,0.11233316962178025
329,6.08,30.4,8.785,0.10365886644494467
330,6.8,34.0,9.106,0.09647942245874046
331,7.44,37.2,9.417,0.09021211111349045
332,8.16,40.8,9.607,0.08667910244526192
333,8.88,44.4,9.745,0.08424154050399082
334,9.44,47.2,10.018,0.07971277573794998
335,10.16,50.8,10.084,0.07867274670632612
336,10.72,53.6,10.292,0.07552494747617527
337,11.52,57.6,10.484,0.07278400719921173
338,12.08,60.4,10.529,0.07216319207962782
339,4.08,20.4,8.081,0.12250668086355757
340,4.8,24.0,8.63,0.10741585646019099
341,5.36,26.8,9.065,0.09735412776938268
342,6.08,30.4,9.153,0.09549113651867652
343,6.64,33.2,9.402,0.09050019048027592
344,7.36,36.8,9.753,0.08410339717906062
345,8.08,40.4,9.834,0.08272362916502615
