x, y
5.797398330545555645e+00,1.046350858370397457e-01
4.846822990926852981e+00,1.046350858370397457e-01
6.571427531447018744e+00,1.005110464604906523e-01
6.989982177075919623e+00,8.777650727224166338e-02
7.605853239354970263e+00,8.526139563401745336e-02
8.187769267145794672e+00,8.380448118191508033e-02
8.659250890398105582e+00,8.039811284265535596e-02
9.064513596948664542e+00,7.677605223988200056e-02
9.589700241212840481e+00,7.649705073648124798e-02
1.011428393134996284e+01,7.677605223988200056e-02
1.051826183054989095e+01,7.526029813476640962e-02
4.902274982312319729e+00,1.181351082660465068e-01
5.500378060470930919e+00,1.104646093516666455e-01
6.196456622866980624e+00,1.119370589133547450e-01
7.539918792433273786e+00,1.168016149117359209e-01
3.935342383648865905e+00,1.532785741982517491e-01
5.809959253140540625e+00,1.824798545829595109e-01
8.757862143992729997e+00,8.625414100838728337e-02
1.129255592969215094e+01,8.559038738132830615e-02
1.080193408780145070e+01,7.566917625537207537e-02
1.486709708564197996e+01,7.526032659254559831e-02
1.514874736488528129e+01,7.935823722174860373e-02
2.194412958955336990e+01,6.785530695851585414e-02
3.253717280408192636e+01,6.365579814323062136e-02
2.727807980753587547e+00,1.660095758114900344e-01
3.288000450644523287e+00,1.682867388475988990e-01
3.556161290009163256e+00,1.419724037920910009e-01
4.324872641663074724e+00,1.367877082933285637e-01
5.157195723305012081e+00,1.211515120712981786e-01
5.633096086843736749e+00,1.142023702124413953e-01
6.086076850776145797e+00,1.099805216840133576e-01
3.544997415845321243e+00,1.260481652150588772e-01
4.224780591009444031e+00,1.293784025863176368e-01
4.702574718913340668e+00,1.181353316152388422e-01
5.245803662995389693e+00,1.170667320944615286e-01
6.163344598208466252e+00,1.094995077261584626e-01
3.779304517185729573e+00,1.894395472679502035e-01
4.202530797323883682e+00,1.725071589117992688e-01
4.724769762172211784e+00,1.729859522297988172e-01
2.817588810073898387e+00,3.047731582694004349e-01
3.131362855741124385e+00,2.937540795845383634e-01
7.506937108950065607e+00,8.812050169763337160e-02
1.014703969434212816e+01,6.261621192241410838e-02
1.285962770545837763e+01,6.570477414196310151e-02
1.905380289994148102e+00,3.212856213447493614e-01
2.503079434449614116e+00,2.021699972002021506e-01
3.164941496632155182e+00,1.615933984843286597e-01
3.667767788072055168e+00,1.384837834499237919e-01
1.485826019292967093e+00,3.082016252076215657e-01
2.063601572823827723e+00,2.189635580698091055e-01
2.750259007066085726e+00,1.973946467652109571e-01
3.321545003958643161e+00,1.489796826701995924e-01
1.417572641488932694e+00,3.767329170256580873e-01
1.848807622062598854e+00,2.259910417116113290e-01
2.322994089224760028e+00,2.560766720660216378e-01
2.503079434449614116e+00,2.122625276496333535e-01
3.131362855741124385e+00,1.749215284024554506e-01
3.086580152964957691e+00,2.926858127736725601e-01
3.287999487075468963e+00,2.650065798957038643e-01
3.623133082760706891e+00,2.744178045747140970e-01
1.724216712100602011e+00,3.996169825765802930e-01
1.916690282972388193e+00,2.959091498046464430e-01
2.131331371609874292e+00,2.543453439930009052e-01
2.491832211968964206e+00,2.773401033874524635e-01
1.200881563776176222e+02,2.880999048847623922e-02
1.056416725315354626e+02,2.981180061715480584e-02
9.439604830629048138e+01,3.062246118216447113e-02
8.346432870671100090e+01,3.113387270783372560e-02
7.106128991022485764e+01,3.244627686332448441e-02
1.894999442658713633e+02,2.550285111589974466e-02
1.646978749639117154e+02,2.642022417134285567e-02
1.427644831787550288e+02,2.730556510448243698e-02
1.231343115518402129e+02,2.816688629440758374e-02
1.076616636681522579e+02,2.893676703728609648e-02
3.389176430267425530e+02,2.156018789073390132e-02
2.935893918259918678e+02,2.262968197555054531e-02
2.512968741968524853e+02,2.357911004424302973e-02
2.210953618528367315e+02,2.428365402186996244e-02
1.862324900940145085e+02,2.484999893740094667e-02
5.122356654783648082e+02,2.009522270995843518e-02
4.655747837404893517e+02,2.032665053772620897e-02
4.176661397605483330e+02,2.067732534598306152e-02
3.794871604423386771e+02,2.113359209405397607e-02
3.242182447003667676e+02,2.204071919837295029e-02
1.119082688372916209e+03,1.711540243297681937e-02
1.023164897438981484e+03,1.709257883906462744e-02
9.286354710846949274e+02,1.743227066345780230e-02
8.228376922500058299e+02,1.782297602858796265e-02
7.318143222434400741e+02,1.830591940953308835e-02
1.811903594563049467e+02,2.547886034148541881e-02
1.653209893677269235e+02,2.636067024938164305e-02
1.492201424380390336e+02,2.686249211691921213e-02
1.297172741251498849e+02,2.753835631219294158e-02
2.335340319645139928e+01,4.617845086089150675e-02
2.310049405790975996e+01,4.617845086089150675e-02
